"Atalay and Penzien, 1975, Spec. 5"	
38.832	62.614
40.47	62.881
41.811	63.277
42.804	63.54
44.046	63.94
44.988	64.336
45.834	64.732
47.422	65.394
47.968	65.661
47.92	62.219
47.869	60.23
47.572	55.862
47.422	53.745
46.33	49.11
45.733	46.86
44.691	43.817
44.046	42.228
43.152	39.978
42.357	37.86
41.811	36.272
40.569	33.094
39.774	31.241
38.435	27.8
37.49	25.814
36.548	23.96
35.009	20.783
34.016	19.062
32.624	17.077
30.836	15.091
28.849	12.708
27.31	10.855
25.771	9.5312
24.133	8.0749
22.594	5.4274
21.253	3.9714
19.019	0.92665
18.472	0.26475
16.734	-1.7209
15.692	-2.9123
14.251	-4.2361
12.613	-5.8247
10.527	-7.5456
9.2362	-8.7368
7.3988	-10.458
6.0084	-11.517
4.0719	-12.973
2.4828	-14.297
1.0925	-15.753
-0.14897	-16.944
-2.0359	-18.93
-5.7602	-23.828
-6.8527	-27.27
-8.8885	-31.506
-10.527	-34.683
-11.818	-37.463
-13.209	-39.846
-15.394	-43.155
-17.181	-45.801
-18.373	-47.656
-19.515	-49.64
-21.998	-53.082
-23.835	-55.333
-25.375	-57.188
-27.262	-58.909
-28.204	-59.834
-29.098	-60.631
-30.241	-61.16
-31.234	-61.556
-32.675	-62.219
-33.221	-62.481
-34.214	-62.881
-35.057	-63.144
-36.548	-63.673
-37.689	-64.069
-39.03	-64.598
-39.675	-64.865
-41.661	-65.528
-43.152	-65.79
-44.493	-65.79
-46.33	-66.057
-47.572	-66.057
-49.111	-66.057
-50.599	-65.661
-51.643	-64.865
-51.643	-64.865
-51.592	-62.085
-51.346	-59.172
-50.698	-55.333
-50.302	-53.082
-49.657	-49.907
-49.06	-47.789
-47.92	-44.479
-47.224	-42.361
-46.627	-40.64
-45.784	-38.257
-44.592	-35.477
-44.094	-34.418
-42.753	-31.638
-41.661	-29.123
-40.221	-25.814
-39.428	-23.96
-37.788	-20.121
-37.193	-18.93
-36.149	-16.944
-35.654	-16.282
-33.815	-14.164
-32.377	-11.781
-30.19	-9.134
-28.006	-7.9428
-25.176	-5.1628
-23.339	-2.9123
-21.353	-0.79428
-19.466	0.92665
-17.579	2.6475
-15.89	4.3685
-11.62	8.8693
-8.4912	12.179
-5.8595	14.694
-3.476	17.077
-1.6387	19.46
0.44691	22.24
2.6815	25.417
5.0152	28.329
7.5479	30.976
10.428	34.418
11.918	36.404
14.351	40.243
15.94	42.493
18.472	46.201
19.813	47.923
21.104	49.244
22.892	50.569
24.828	51.761
26.317	52.553
28.057	53.483
29.248	53.879
30.937	54.67
32.774	55.333
33.866	55.862
35.405	56.659
36.944	56.921
38.484	57.45
40.767	58.38
41.811	58.909
43.251	59.572
44.94	59.968
46.479	60.497
47.92	61.027
49.159	61.289
50.8	61.818
50.947	61.689
49.558	58.247
48.367	55.729
47.572	53.483
45.982	47.522
45.138	45.143
44.293	42.626
43.35	39.448
42.108	35.61
41.214	33.094
39.774	29.123
38.534	26.475
36.794	22.637
36.05	21.71
34.163	19.195
31.88	16.282
30.289	14.164
28.9	12.444
27.361	10.458
25.921	9.0019
24.133	7.5456
23.19	6.8837
21.104	4.633
19.813	3.0447
18.274	0.79428
17.132	-0.39714
16.039	-1.7209
14.649	-3.5742
13.06	-4.8981
10.974	-6.7512
10.031	-7.5456
7.6967	-9.6637
5.5118	-11.781
4.7173	-12.444
3.3269	-13.9
1.9366	-15.62
0.64554	-17.341
-1.4897	-20.254
-3.178	-22.769
-4.4691	-24.49
-6.8527	-27.667
-8.7892	-29.785
-9.9314	-31.109
-12.116	-34.154
-14.798	-37.727
-16.834	-40.64
-18.423	-42.89
-19.565	-44.479
-21.65	-48.052
-23.14	-49.377
-24.828	-51.099
-27.31	-53.745
-29.446	-55.467
-31.085	-56.792
-33.269	-57.851
-35.108	-58.776
-36.746	-59.305
-38.384	-59.834
-41.166	-61.422
-43.647	-62.881
-45.237	-63.411
-47.272	-64.069
-48.466	-64.069
-49.111	-64.202
-49.408	-64.336
-48.961	-59.043
-48.664	-54.274
-48.067	-49.511
-47.521	-46.464
-46.627	-42.493
-45.486	-37.993
-44.94	-36.007
-43.995	-32.83
-43.002	-29.917
-42.108	-27.402
-40.023	-22.637
-37.889	-18.798
-36.647	-16.547
-34.61	-13.502
-32.822	-11.252
-30.886	-8.6047
-28.552	-5.8247
-26.518	-3.3094
-24.779	-0.79428
-21.7	2.78
-18.919	5.9572
-16.635	8.0749
-13.854	10.855
-11.967	12.576
-9.4348	15.091
-6.6043	17.341
-4.1214	19.062
-2.2842	20.651
