"Pujol 2002, No. 10-3-1.5S"	
2.230337917	56.18197702
2.253960156	56.15968873
2.24435606	56.22654935
2.557047789	61.30789133
2.569277394	61.37475193
2.588368276	61.35246365
2.587543275	61.35246365
2.550009351	61.39703598
2.957518183	67.7041401
3.044006118	67.7041401
2.978918076	67.65956776
3.036346655	67.65956776
2.944127928	67.72642838
3.065119998	65.0966106
3.162386087	65.11889888
3.130102382	65.0966106
3.182617349	65.07432232
3.087118411	65.0966106
3.114233135	67.59270717
3.099456867	67.59270717
3.17754062	67.59270717
3.087246734	67.61499545
3.121114044	67.59270717
3.136538949	67.16926378
3.15562999	67.1469755
3.177338559	67.16926378
3.11672298	67.16926378
3.129316485	67.16926378
3.169991923	66.45609393
3.154377087	66.45609393
3.119949243	66.45609393
3.208620261	66.45609393
3.146097716	66.43380565
3.18707417	65.85407702
3.177772686	65.89864936
3.172007739	65.87636108
3.13331875	65.92093339
3.18700139	65.89864936
3.411097276	72.13889285
3.364803089	72.16118114
3.403708503	72.13889285
3.348422786	72.11660457
3.383220596	72.13889285
3.432936403	70.26681726
3.449652196	70.22224495
3.426128275	70.22224495
3.423324646	70.24453323
3.459013053	70.28910555
3.969123104	78.57971394
3.985041189	78.55742565
4.001181127	78.49056928
4.003510727	78.55742565
3.980072354	78.51285757
4.422156346	83.57190704
4.399589099	83.6164836
4.41968342	83.59419532
4.341269922	83.59419532
4.415534318	83.6164836
4.861975218	89.00984032
4.841321321	89.00984032
4.785526463	88.98755204
4.850014708	88.98755204
4.807307813	88.96526376
4.924422429	86.55831608
4.865567297	86.51373951
4.878075573	86.55831608
4.907257826	86.5360278
4.928500348	86.58059589
4.911995552	85.82285372
4.960277145	85.86743028
4.874216314	85.82285372
4.929213784	85.86743028
4.897642238	85.86743028
4.954466551	85.33255397
4.960331092	85.33255397
4.970284724	85.35483377
4.940804648	85.31026568
4.975865486	85.2879774
5.471588067	94.82663196
5.38583719	94.84892024
5.443761822	94.84892024
5.45984494	94.82663196
5.4558082	94.82663196
5.952587049	100.286845
5.902242397	100.3091333
5.938511768	100.3091333
5.910099452	100.286845
5.953279098	100.2199887
6.331966546	104.0755643
6.24758253	104.0309962
6.327849365	104.0309962
6.26037203	103.9641314
6.308270251	103.9864197
6.440022598	100.6880086
6.278140581	100.6880086
6.364613513	100.6880086
6.369780898	100.6657204
6.356422564	100.6211438
6.46307728	98.34791732
6.32818326	98.32562904
6.407362863	98.3702056
6.361139861	98.34791732
6.456018891	98.34791732
6.511091055	96.73993705
6.410376213	96.76222533
6.478340026	96.73993705
6.367299353	96.71764877
6.490219137	96.71764877
6.46312197	96.60621586
6.384199012	96.60621586
6.516434006	96.56164777
6.426055849	96.62850414
6.486887215	96.65079242
7.202100746	105.5208494
7.168469972	105.4985696
7.217454786	105.4762814
7.114186896	105.4762814
7.241506044	105.4094165
7.732372471	107.3483527
7.784926701	107.3483527
7.789325426	107.2814964
7.733281584	107.3037762
7.737721806	107.2592081
7.829896482	103.5819217
7.8708225	103.5596334
7.885776888	103.5596334
7.850841818	103.5596334
7.858281346	103.5819217
7.883569226	101.9329877
7.926658855	101.9775643
7.913340742	101.955276
7.976232294	101.9998526
7.892395405	101.9775643
8.482554909	107.3040562
8.464006207	107.2594881
8.51509079	107.2817679
8.504422765	107.2371998
8.470958618	107.2149115
9.069413134	108.3069524
9.008962268	108.3069524
9.098345126	108.3292407
9.04430082	108.2623844
9.072849758	108.2623844
9.31976379	108.6858277
9.368789464	108.6858277
9.320779519	108.6858277
9.353083653	108.6412512
9.31312229	108.6412512
9.426639401	105.2982636
9.439345268	105.2759753
9.370596835	105.3205519
9.458033784	105.2982636
9.44578375	105.2982636
9.61975875	107.0811903
9.715944629	107.058902
9.608802797	107.058902
9.649397474	107.0366222
9.622812321	107.0143339
9.918294917	107.526922
9.784031657	107.4823539
9.929337057	107.5046337
9.829418327	107.5046337
9.909973729	107.4823539
10.08813294	107.8612208
10.00614876	107.8389325
10.06755023	107.8166527
10.05748488	107.8166527
10.05659428	107.7943644
10.39798641	109.1761275
10.39557318	109.1538477
10.37962796	109.1538477
10.43431516	109.1315594
10.36841536	109.0869829
10.79406255	110.2236003
10.83591875	110.2458886
10.79279081	110.1790238
10.86512143	110.156744
10.75703026	110.1790238
10.90249208	106.1228706
10.96436152	106.078294
10.83716622	106.1228706
10.96452495	106.078294
10.88968151	106.1005823
11.00991418	103.4930486
10.98176106	103.5153369
11.01180646	103.5153369
10.9454387	103.4930486
10.99966879	103.4930486
10.99811104	103.9610685
10.98951278	103.9387803
10.94420655	103.9610685
10.95617951	103.9833568
10.9904321	103.9833568
11.0084956	103.5376251
10.99523048	103.5376251
11.02960438	103.5153369
10.9453672	103.5376251
11.01264535	103.5153369
11.34047357	108.9309819
