"Pujol 2002, No. 20-3-3N"	
12980	
5.76	-30.785
5.73	-28.200
5.78	-28.155
5.72	-28.200
5.69	-28.155
5.66	-28.200
5.70	-27.130
5.65	-27.130
5.71	-27.085
5.64	-27.152
5.68	-27.085
5.42	-31.052
5.38	-31.097
5.39	-31.075
5.38	-31.097
5.43	-31.052
5.14	-33.125
5.08	-33.080
5.10	-33.080
5.12	-33.080
5.03	-33.058
4.71	-35.331
4.64	-35.264
4.65	-35.264
4.64	-35.264
4.68	-35.242
4.61	-33.481
4.56	-33.526
4.62	-33.504
4.64	-33.526
4.66	-33.481
4.48	-35.666
4.49	-35.666
4.47	-35.688
4.49	-35.621
4.51	-35.599
4.45	-34.061
4.47	-34.061
4.49	-34.061
4.50	-34.039
4.41	-34.039
4.32	-36.178
4.28	-36.178
4.31	-36.178
4.27	-36.178
4.29	-36.134
4.12	-37.805
4.13	-37.761
4.09	-37.783
4.10	-37.738
4.10	-37.738
3.73	-40.011
3.75	-40.056
3.76	-39.989
3.71	-39.989
3.78	-39.945
3.34	-41.817
3.35	-41.750
3.36	-41.728
3.38	-41.728
3.28	-41.728
3.32	-39.410
3.28	-39.387
3.27	-39.365
3.26	-39.387
3.33	-39.387
3.09	-42.084
3.11	-42.084
3.12	-42.084
3.09	-42.017
3.04	-41.995
2.83	-44.134
2.86	-44.090
2.81	-44.068
2.79	-44.045
2.77	-44.068
2.82	-42.418
2.80	-42.441
2.80	-42.396
2.75	-42.396
2.82	-42.374
2.74	-40.858
2.78	-40.814
2.72	-40.858
2.76	-40.836
2.76	-40.814
2.55	-45.115
2.60	-45.115
2.57	-45.115
2.52	-45.137
2.56	-45.137
2.38	-46.831
2.45	-46.853
2.41	-46.853
2.37	-46.787
2.45	-46.787
2.14	-48.904
2.17	-48.926
2.20	-48.882
2.20	-48.882
2.17	-48.815
2.07	-45.873
2.17	-45.917
2.11	-45.917
2.12	-45.895
2.13	-45.895
2.11	-45.561
2.11	-45.539
2.08	-45.561
2.11	-45.561
2.13	-45.516
1.94	-49.082
1.95	-49.082
1.97	-49.060
2.01	-49.038
1.95	-49.038
1.79	-51.400
1.82	-51.444
1.81	-51.400
1.81	-51.378
1.80	-51.355
1.55	-53.406
1.58	-53.361
1.58	-53.361
1.58	-53.294
1.50	-53.339
1.54	-50.731
1.53	-50.754
1.44	-50.754
1.51	-50.754
1.54	-50.754
1.42	-53.963
1.38	-53.918
1.38	-53.896
1.40	-53.918
1.34	-53.896
1.30	-55.946
1.22	-55.946
1.22	-55.924
1.26	-55.924
1.22	-55.902
1.00	-58.086
