"Pujol 2002, No. 10-1-2.25N"	
32189	
5.233373422	62.52359106
5.2301978	62.52359106
5.206205635	62.52359106
5.251786853	62.50130277
5.268113329	62.50130277
5.04666802	57.73197552
5.025426421	57.70968724
4.961218446	57.79883611
5.057971431	57.73197552
5.086376382	57.77654783
4.96877875	56.10505403
4.975520878	56.10505403
4.968381797	56.10505403
4.976801793	56.12734231
4.958229006	56.12734231
4.93306163	57.17481092
4.952586401	57.19709495
4.973486296	57.15252264
4.951213514	57.15252264
4.894065101	57.17481092
4.812004474	53.76496272
4.79877027	53.80953503
4.851818222	53.787251
4.853033351	53.80953503
4.755370535	53.83182331
4.612015049	48.97334716
4.6439501	49.04020775
4.640659193	48.99563544
4.570515131	49.15164069
4.614893994	49.06249181
4.400953742	44.38230916
4.360738571	44.47145804
4.401915625	44.47145804
4.435399526	44.44916976
4.319363199	44.47145804
4.36888137	45.92008599
4.390336615	45.89779771
4.369583941	45.89779771
4.330942849	45.92008599
4.353072881	45.8532254
4.367251085	46.05380296
4.362995101	46.03151893
4.407781456	46.00923065
4.366789943	46.05380296
4.320904065	46.09837952
4.11366219	39.94728066
4.104583055	39.92499238
4.144807487	39.90270832
4.165744745	39.94728066
4.093080688	39.92499238
3.882484355	36.13627308
3.91169822	36.13627308
3.97999963	36.15856137
3.934857839	36.15856137
3.912648927	36.15856137
3.694650688	31.85724981
3.694535083	31.81267749
3.727289587	31.90182426
3.741951608	31.83496366
3.73551446	31.81267749
3.486357511	27.08792255
3.508975191	27.0433481
3.410139082	27.02106196
3.411760744	27.1102087
3.510598769	27.13249487
3.12821198	20.64709936
3.154731805	20.60252491
3.172987157	20.55795259
3.145137557	20.53566642
3.096677714	20.46880583
3.124917241	20.71395784
3.175530784	20.75853227
3.119284537	20.75853227
3.086369399	20.75853227
3.184454076	20.75853227
3.088327018	22.51917284
3.078041376	22.54145898
3.107850511	22.54145898
3.108206587	22.56374515
3.055462976	22.56374515
3.074787833	22.58603132
3.062583854	22.60831747
3.047252474	22.60831747
3.082084673	22.60831747
3.12052681	22.58603132
3.083202719	22.7197504
3.051568496	22.74203868
3.017599183	22.63060575
3.068250728	22.76432483
3.073208326	22.76432483
2.896886925	17.86127635
2.87904098	17.86127635
2.871981098	17.92813484
2.91974316	17.90584867
2.932723162	17.92813484
2.682994895	13.33709895
2.672025205	13.33709895
2.67643799	13.38167234
2.716662422	13.35938619
2.713715136	13.38167234
2.407288102	8.857496003
2.456320541	8.79063594
2.480561799	8.835209323
2.465663459	8.81292262
2.443336547	8.879782705
2.360353317	7.252861752
2.330636634	7.275148432
2.340682443	7.275148432
2.384900354	7.275148432
2.37810713	7.23057505
2.218350759	4.712191274
2.197265482	4.712191274
2.156550048	4.712191274
2.147456543	4.734477976
2.199539258	4.734477976
2.150279282	5.982526791
2.189340001	5.982526791
2.094097064	5.982526791
2.105150584	5.937953408
2.187200352	5.960240089
1.967152043	3.08527061
1.968011415	3.08527061
2.048078336	3.10755729
2.028712282	3.10755729
2.024100063	3.062984174
1.942652589	3.909874148
1.976837624	3.865301033
1.97904721	3.887587735
1.981029419	3.887587735
2.008879498	3.909874148
1.881414095	4.58181501
1.955852783	4.53724165
1.986425804	4.626387881
2.000635145	4.626387881
1.934753933	4.58181501
1.860501746	2.954894079
1.967957604	2.999467462
1.949081115	3.021753875
1.915717609	2.97718076
1.940568987	2.97718076
1.901727821	4.604101179
1.914814166	4.604101179
1.910718975	4.492668268
1.860211616	4.425808717
1.89687018	4.403522037
1.979655733	3.400625747
1.872094329	3.378339333
1.8546043	3.400625747
