Saatcioglu and Grira1999 Column BG-6	
-30.49856	-132.8685714
-29.99897	-128.5797568
-29.49937	-124.4632219
-28.99977	-120.3466869
-28.48295	-117.5686322
-27.98336	-113.2453495
-27.48376	-111.1961094
-26.98417	-106.2871733
-26.48457	-104.9615198
-25.98498	-100.7760486
-25.48538	-99.2781155
-24.98579	-95.67841945
-24.48619	-94.04267477
-23.9866	-90.236231
-23.487	-84.9137386
-22.98741	-83.58808511
-22.48781	-78.19671733
-21.97099	-76.76237082
-21.48862	-71.96200608
-20.98903	-70.18844985
-20.48943	-67.62237082
-19.98984	-65.2975076
-19.49024	-64.31635258
-18.99065	-60.75111246
-18.49105	-57.49594529
-17.99146	-54.58533739
-17.49186	-50.98561094
-16.99227	-49.21201824
-16.49267	-45.6467538
-15.99307	-42.94286322
-15.49348	-42.30627964
-14.99388	-39.18892401
-14.49429	-38.27670517
-13.99469	-34.05678419
-13.4951	-30.76716109
-12.9955	-27.40862006
-12.49591	-26.11738602
-11.99631	-21.69073556
-11.49672	-19.15911854
-10.99712	-16.93759271
-10.49753	-10.7192766
-9.997932	-5.810253495
-9.498337	-2.038249848
-8.998742	-0.092366809
-8.499146	0.337491672
-7.999552	5.246516109
-7.499957	9.94881459
-6.983134	11.45209726
-6.483539	15.25855927
-5.983944	17.41117933
-5.484349	20.2528997
-4.984754	20.64829787
-4.485158	23.00764742
-3.985563	27.84776292
-3.485968	30.3793921
-2.986373	35.15058967
-2.486778	35.51154407
-1.987183	39.18018845
-1.487588	44.70941033
-0.9879924	45.62164134
-0.4883973	50.42730699
0.01119782	53.61358055
0.510793	55.80065046
1.010388	57.81544681
1.509983	62.55221884
2.009578	63.11987842
2.509173	66.71963526
3.008769	71.76644377
3.508364	73.16109422
4.007959	74.62455927
4.507554	80.01598784
5.007149	81.30723404
5.506744	84.01112462
6.00634	86.57720365
6.505935	89.72899696
7.00553	92.43294833
7.505125	95.48133739
8.004721	96.70370821
8.504315	99.68322188
9.003911	102.6283283
9.503506	104.0917933
